description,link,price,location,bedrooms,bathrooms,area
 Apartment for Sale in Taj City – Origami | 169 SQM | Delivery 2027,https://www.dubizzle.com.eg/en/ad/apartment-for-sale-in-taj-city-origami-169-sqm-delivery-2027-ID502123993.html,"EGP 9,350,000","Taj City Compound, 1st Settlement•",3,3,168 SQM
 Apartment for Sale in Taj City – Origami | 131 SQM – Delivery 2027,https://www.dubizzle.com.eg/en/ad/apartment-for-sale-in-taj-city-origami-131-sqm-delivery-2027-ID502123703.html,"EGP 7,250,000","Taj City Compound, 1st Settlement•",2,2,131 SQM
Super Lux Finished Apartment for Sale in Gardenia City – 2nd Floor – EGP 3.5M Down Payment,https://www.dubizzle.com.eg/en/ad/super-lux-finished-apartment-for-sale-in-gardenia-city-2nd-floor-egp-35m-down-payment-ID502121557.html,"EGP 4,200,000","Gardenia Compound, Nasr City•",3,1,120 SQM
 Ground Floor Apartment with Private Garden for Sale in Mivida Compound – New Cairo,https://www.dubizzle.com.eg/en/ad/ground-floor-apartment-with-private-garden-for-sale-in-mivida-compound-new-cairo-ID502120943.html,"EGP 20,000,000","Mivida Compound, 5th Settlement•",3,3,186 SQM
"Sea-facing apartment for immediate delivery, fully sea-oriented, semi-finished at Taj Sultan – Taj City, first upper level | Premium location",https://www.dubizzle.com.eg/en/ad/sea-facing-apartment-for-immediate-delivery-fully-sea-oriented-semi-finished-at-taj-sultan-taj-city-first-upper-level-premium-location-ID502116218.html,"EGP 6,800,000","Tag Sultan Compound, 1st Settlement•",3,2,130 SQM
" Apartment for Sale – Pool View – Orgami, Taj City, New Cairo",https://www.dubizzle.com.eg/en/ad/apartment-for-sale-pool-view-orgami-taj-city-new-cairo-ID502115960.html,"EGP 7,250,000","Taj City Compound, 1st Settlement•",2,2,131 SQM
"For sale in installments - a bargain ground-floor apartment with a garden in Compound Wisal 70 m² - Close to the mosque, club, and services - immediate delivery",https://www.dubizzle.com.eg/en/ad/for-sale-in-installments-a-bargain-ground-floor-apartment-with-a-garden-in-compound-wisal-70-m2-close-to-the-mosque-club-and-services-immediate-delivery-ID502112201.html,"EGP 4,980,000","Wesal, Shorouk City•",3,2,165 SQM
Ready-to-Move Apartment for Sale in Fifth Square – Al Marasem,https://www.dubizzle.com.eg/en/ad/ready-to-move-apartment-for-sale-in-fifth-square-al-marasem-ID502112138.html,"EGP 9,000,000","Fifth Square Compound, 5th Settlement•",2,2,136 SQM
Very chic ground floor apartment with a private entrance + very nice private garden - Al Banasij Villas - Al Banasij 1,https://www.dubizzle.com.eg/en/ad/very-chic-ground-floor-apartment-with-a-private-entrance-very-nice-private-garden-al-banasij-villas-al-banasij-1-ID502100840.html,"EGP 7,700,000","El Banafseg 3, 1st Settlement•",3,2,180 SQM
"Luxury Apartment for Sale in Wesal Residence, Landscape & Mosque View | Flexible Payment Plan, Ready to Move",https://www.dubizzle.com.eg/en/ad/luxury-apartment-for-sale-in-wesal-residence-landscape-mosque-view-flexible-payment-plan-ready-to-move-ID502100505.html,"EGP 5,800,000","Wesal, Shorouk City•",3,2,160 SQM
Ground Floor Apartment for Sale in Sky Condos – Villette | Semi-Finished | All-Inclusive,https://www.dubizzle.com.eg/en/ad/ground-floor-apartment-for-sale-in-sky-condos-villette-semi-finished-all-inclusive-ID502098023.html,"EGP 15,400,000","Sky Condos Sodic Compound, 5th Settlement•",4,3,181 SQM
Ready-to-Move Apartment for Sale in Fifth Square – Al Marasem,https://www.dubizzle.com.eg/en/ad/ready-to-move-apartment-for-sale-in-fifth-square-al-marasem-ID502097980.html,"EGP 9,200,000","Fifth Square Compound, 5th Settlement•",2,2,136 SQM
Fully Finished 3-Bedroom Apartment for Sale in Sarai - ready to move,https://www.dubizzle.com.eg/en/ad/fully-finished-3-bedroom-apartment-for-sale-in-sarai-ready-to-move-ID502096843.html,"EGP 5,500,000","Sarai, Mostakbal City•",3,3,164 SQM
Panoramic Apartment for Sale in Beit El Watan – New Cairo – Immediate Delivery,https://www.dubizzle.com.eg/en/ad/panoramic-apartment-for-sale-in-beit-el-watan-new-cairo-immediate-delivery-ID502604628.html,"EGP 2,800,000","Beit Al Watan, 5th Settlement•",3,2,180 SQM
Apartment for sale in installments in Sodic East El Sherouk at the lowest price,https://www.dubizzle.com.eg/en/ad/apartment-for-sale-in-installments-in-sodic-east-el-sherouk-at-the-lowest-price-ID502427941.html,"EGP 9,600,000","Sodic East, New Heliopolis•",3,2,210 SQM
"Apartment 3 bedrooms for sale in Aura phase - cfc, 3 bathrooms, bua 210 sqm, Central ACs, Luxury Furniture",https://www.dubizzle.com.eg/en/ad/apartment-3-bedrooms-for-sale-in-aura-phase-cfc-3-bathrooms-bua-210-sqm-central-acs-luxury-furniture-ID502173797.html,"EGP 30,000,000","Cairo Festival City Compound, Katameya•",3,3,210 SQM
"Ground floor apartment with private garden for sale in Madinaty B10, agent directly from owner, ultra super lux finishingn",https://www.dubizzle.com.eg/en/ad/ground-floor-apartment-with-private-garden-for-sale-in-madinaty-b10-agent-directly-from-owner-ultra-super-lux-finishingn-ID502639660.html,"EGP 6,750,000","Madinaty, Cairo•",3,2,107 SQM
Fifth Square – Marasem | 250 m² Apartment + 107 m² Garden – Prime Location,https://www.dubizzle.com.eg/en/ad/fifth-square-marasem-250-m2-apartment-107-m2-garden-prime-location-ID502614527.html,"EGP 23,764,472","Fifth Square Compound, 5th Settlement•",3,3,250 SQM
"Luxury 3-Bed Apartment in Origami, Taj City , Tag Sultan – Delivery 2027",https://www.dubizzle.com.eg/en/ad/luxury-3-bed-apartment-in-origami-taj-city-tag-sultan-delivery-2027-ID502096362.html,"EGP 9,350,000","Tag Sultan Compound, 1st Settlement•",3,3,169 SQM
For Sale: Ultra Super Lux Apartment in Palm Hills New Cairo – Landscape View,https://www.dubizzle.com.eg/en/ad/for-sale-ultra-super-lux-apartment-in-palm-hills-new-cairo-landscape-view-ID502093378.html,"EGP 13,000,000","Palm Hills New Cairo Compound, 5th Settlement•",3,3,193 SQM
 For Sale – 3-Bedroom Apartment in Taj Sultan | Prime Location in New Cairo,https://www.dubizzle.com.eg/en/ad/for-sale-3-bedroom-apartment-in-taj-sultan-prime-location-in-new-cairo-ID502092930.html,"EGP 7,350,000","Taj City Compound, 1st Settlement•",3,3,144 SQM
" Hot Deal! Apartment for Sale in Gardenia City – Zone 8, Ready to Move",https://www.dubizzle.com.eg/en/ad/hot-deal-apartment-for-sale-in-gardenia-city-zone-8-ready-to-move-ID502086792.html,"EGP 3,550,000","Gardenia Compound, Nasr City•",3,1,120 SQM
"Luxury Apartment with Private Roof for Sale in Tag Sultan, Taj CITY – Prime Location & Spacious Layout",https://www.dubizzle.com.eg/en/ad/luxury-apartment-with-private-roof-for-sale-in-tag-sultan-taj-city-prime-location-spacious-layout-ID502081590.html,"EGP 17,000,000","Tag Sultan, Nasr City•",3,3,287 SQM
**Luxury 2-Bedroom Apartment for Sale in Taj Sultan – 158 sqm**,https://www.dubizzle.com.eg/en/ad/luxury-2-bedroom-apartment-for-sale-in-taj-sultan-158-sqm-ID502081670.html,"EGP 11,500,000","Tag Sultan, Nasr City•",2,2,158 SQM
Luxury Apartment for Sale in Sodic Villette – Sky Condos | 3 Bedrooms | Great Price,https://www.dubizzle.com.eg/en/ad/luxury-apartment-for-sale-in-sodic-villette-sky-condos-3-bedrooms-great-price-ID502071669.html,"EGP 13,500,000","Sky Condos Sodic Compound, 5th Settlement•",3,3,184 SQM
Apartment for sale in Dar Misr Al-Qarnfal – in front of the Eastern Market of Al-Rihab | 100m² | very special location,https://www.dubizzle.com.eg/en/ad/apartment-for-sale-in-dar-misr-al-qarnfal-in-front-of-the-eastern-market-of-al-rihab-100m2-very-special-location-ID502068260.html,"EGP 2,750,000","Dar Misr, 5th Settlement•",2,1,99 SQM
 For Sale – Premium Duplex in Hyde Park | Wide Garden View | Immediate Delivery,https://www.dubizzle.com.eg/en/ad/for-sale-premium-duplex-in-hyde-park-wide-garden-view-immediate-delivery-ID502066034.html,"EGP 16,000,000","Hyde Park New Cairo Compound, 5th Settlement•",3,3,234 SQM
Fully Finished Apartment in 5th Settlement - South Investors,https://www.dubizzle.com.eg/en/ad/fully-finished-apartment-in-5th-settlement-south-investors-ID502065258.html,"EGP 8,400,000","South Investors, 5th Settlement•",4,2,235 SQM
For sale - Ground floor apartment with garden in Saray Compound | Garden 100 m² | Stunning double view of the lake and nature - Immediate delivery,https://www.dubizzle.com.eg/en/ad/for-sale-ground-floor-apartment-with-garden-in-saray-compound-garden-100-m2-stunning-double-view-of-the-lake-and-nature-immediate-delivery-ID502064488.html,"EGP 4,250,000","Sarai, Mostakbal City•",2,2,122 SQM
 For Sale – Ground Floor Apartment with Private Garden | Sky Condos – Villette by SODIC | Prime Location,https://www.dubizzle.com.eg/en/ad/for-sale-ground-floor-apartment-with-private-garden-sky-condos-villette-by-sodic-prime-location-ID502063939.html,"EGP 14,000,000","Sky Condos Sodic Compound, 5th Settlement•",3,3,160 SQM
" For Sale – Garden Apartment in Sky Condos, Villette | 74 sqm Garden | 80% Finished",https://www.dubizzle.com.eg/en/ad/for-sale-garden-apartment-in-sky-condos-villette-74-sqm-garden-80-finished-ID502063827.html,"EGP 15,200,000","Sky Condos Sodic Compound, 5th Settlement•",3,3,181 SQM
 For Sale – Apartment in Gardenia City | Zone 4 - Prime Location,https://www.dubizzle.com.eg/en/ad/for-sale-apartment-in-gardenia-city-zone-4-prime-location-ID502060617.html,"EGP 4,800,000","Gardenia Compound, Nasr City•",3,1,120 SQM
Apartment For Sale  in Hyde Park – Greens Phase | Panoramic Terrace,https://www.dubizzle.com.eg/en/ad/apartment-for-sale-in-hyde-park-greens-phase-panoramic-terrace-ID502052358.html,"EGP 6,500,000","Hyde Park Central, New Cairo•",1,2,77 SQM
" Apartment for Sale | Prime Location in Hyde Park Compound, Ready to Move",https://www.dubizzle.com.eg/en/ad/apartment-for-sale-prime-location-in-hyde-park-compound-ready-to-move-ID502044045.html,"EGP 7,300,000","Hyde Park Central, New Cairo•",2,3,145 SQM
 For Sale – Ground Floor Apartment with Private Garden | Wesal Residence – El Shorouk | Prime Location | Old Contract,https://www.dubizzle.com.eg/en/ad/for-sale-ground-floor-apartment-with-private-garden-wesal-residence-el-shorouk-prime-location-old-contract-ID502044023.html,"EGP 5,999,999","Wesal, Shorouk City•",3,2,165 SQM
 For Sale – Prime Ground Floor Apartment in Gardenia City - Near Hotel & Main Square,https://www.dubizzle.com.eg/en/ad/for-sale-prime-ground-floor-apartment-in-gardenia-city-near-hotel-main-square-ID502039774.html,"EGP 4,350,000","Gardenia Compound, Nasr City•",3,1,120 SQM
" For Sale – Stylish Apartment in Sarai Compound, New Cairo | Ready to Move",https://www.dubizzle.com.eg/en/ad/for-sale-stylish-apartment-in-sarai-compound-new-cairo-ready-to-move-ID502029286.html,"EGP 4,000,000","Sarai, Mostakbal City•",2,2,122 SQM
 FOR SALE – Luxury Apartment in Hyde Park – Park Corner (PC),https://www.dubizzle.com.eg/en/ad/for-sale-luxury-apartment-in-hyde-park-park-corner-pc-ID502025820.html,"EGP 6,500,000","Hyde Park Central, New Cairo•",1,2,100 SQM
"Apartment for Sale – Sarai Compound, S1 Phase – New Cairo, Double View",https://www.dubizzle.com.eg/en/ad/apartment-for-sale-sarai-compound-s1-phase-new-cairo-double-view-ID502022504.html,"EGP 5,750,000","Sarai, Mostakbal City•",3,3,182 SQM
"Pool view, Apartment for Sale in 90 Avenue Compound, New Cairo, South 90th Street – Next to AUC",https://www.dubizzle.com.eg/en/ad/pool-view-apartment-for-sale-in-90-avenue-compound-new-cairo-south-90th-street-next-to-auc-ID502022459.html,"EGP 13,000,000","90 Avenue Compound, 5th Settlement•",3,3,190 SQM
" Hot Deal! Apartment for Sale in Taj City Compound – New Cairo, Ready to Move",https://www.dubizzle.com.eg/en/ad/hot-deal-apartment-for-sale-in-taj-city-compound-new-cairo-ready-to-move-ID502020840.html,"EGP 7,000,000","Taj City Compound, 1st Settlement•",3,2,130 SQM
"Fully south-facing with an open view – Prime apartment for sale in Park Corner, Hyde Park | Immediate delivery & premium finishing in one of New Cairo",https://www.dubizzle.com.eg/en/ad/fully-south-facing-with-an-open-view-prime-apartment-for-sale-in-park-corner-hyde-park-immediate-delivery-premium-finishing-in-one-of-new-cairo-ID502020794.html,"EGP 7,300,000","Hyde Park Central, New Cairo•",2,3,146 SQM
"**Exclusive 3-Bedroom Apartment for Sale in Gardenia City, Nasr City – 120 sqm!**",https://www.dubizzle.com.eg/en/ad/exclusive-3-bedroom-apartment-for-sale-in-gardenia-city-nasr-city-120-sqm-ID501856728.html,"EGP 3,700,000","Gardenia Compound, Nasr City•",3,1,120 SQM
Apartment for sale - semi-finishing - Park Corner - Hyde Park - Fifth Settlement,https://www.dubizzle.com.eg/en/ad/apartment-for-sale-semi-finishing-park-corner-hyde-park-fifth-settlement-ID502020081.html,"EGP 7,300,000","Hyde Park Central, New Cairo•",3,2,145 SQM
Premium Apartment for Sale in Hyde Park – Park Corner - Full Landscape View,https://www.dubizzle.com.eg/en/ad/premium-apartment-for-sale-in-hyde-park-park-corner-full-landscape-view-ID502014644.html,"EGP 13,000,000","Hyde Park Central, New Cairo•",3,3,207 SQM
Duplex Apartment for Sale in Taj Sultan – Taj City | Finished - Ready to move,https://www.dubizzle.com.eg/en/ad/duplex-apartment-for-sale-in-taj-sultan-taj-city-finished-ready-to-move-ID502013387.html,"EGP 9,500,000","Tag Sultan, Nasr City•",3,3,168 SQM
Ground Floor Apartment For Sale in Gardenia zone 2 - nasr city,https://www.dubizzle.com.eg/en/ad/ground-floor-apartment-for-sale-in-gardenia-zone-2-nasr-city-ID501850958.html,"EGP 5,570,000","Gardenia Compound, Nasr City•",3,1,120 SQM
"""Luxury Apartment for Sale in Gardenia City - Prime Location with Mall View!""",https://www.dubizzle.com.eg/en/ad/luxury-apartment-for-sale-in-gardenia-city-prime-location-with-mall-view-ID501866073.html,"EGP 4,000,000","Gardenia Compound, Nasr City•",3,1,120 SQM
"Apartment for Sale, 162 square meters in Sky Condos Compound, Sodic.",https://www.dubizzle.com.eg/en/ad/apartment-for-sale-162-square-meters-in-sky-condos-compound-sodic-ID501855834.html,"EGP 15,890,000","Sky Condos Sodic Compound, 5th Settlement•",3,3,162 SQM
Apartment for Sale with 3 rooms in Taj City Compound.,https://www.dubizzle.com.eg/en/ad/apartment-for-sale-with-3-rooms-in-taj-city-compound-ID501830485.html,"EGP 17,000,000","Taj City Compound, 1st Settlement•",3,3,287 SQM
"Ground Floor Apartment with Private Garden for Sale in Tag Sultan – Taj City, Super Lux Finishing",https://www.dubizzle.com.eg/en/ad/ground-floor-apartment-with-private-garden-for-sale-in-tag-sultan-taj-city-super-lux-finishing-ID502006517.html,"EGP 11,000,000","Tag Sultan, Nasr City•",3,2,150 SQM
**Luxury 2-Bedroom Apartment for Sale in Taj Sultan – 158 sqm**,https://www.dubizzle.com.eg/en/ad/luxury-2-bedroom-apartment-for-sale-in-taj-sultan-158-sqm-ID501859033.html,"EGP 11,500,000","Tag Sultan, Nasr City•",2,2,158 SQM
Exclusive Deal – 130 sqm Apartment for Sale in Taj Sultan – Taj City,https://www.dubizzle.com.eg/en/ad/exclusive-deal-130-sqm-apartment-for-sale-in-taj-sultan-taj-city-ID502003232.html,"EGP 6,700,000","Tag Sultan, Nasr City•",3,2,130 SQM
"Luxurious 234 m² Duplex for Sale in Hyde Park Compound, New Cairo – Prime Location with Garden View",https://www.dubizzle.com.eg/en/ad/luxurious-234-m2-duplex-for-sale-in-hyde-park-compound-new-cairo-prime-location-with-garden-view-ID502000091.html,"EGP 17,500,000","Hyde Park Central, New Cairo•",3,3,234 SQM
"For Sale – Ground Floor Apartment with Private Garden Ultra Super Lux Finishing in Gardenia City Compound, Nasr City, Installments Available",https://www.dubizzle.com.eg/en/ad/for-sale-ground-floor-apartment-with-private-garden-ultra-super-lux-finishing-in-gardenia-city-compound-nasr-city-installments-available-ID501994788.html,"EGP 5,600,000","Gardenia Compound, Nasr City•",3,1,120 SQM
Fully Furnished 3-Bedroom Apartment for Sale in Prime Location – Taj City New Cairo,https://www.dubizzle.com.eg/en/ad/fully-furnished-3-bedroom-apartment-for-sale-in-prime-location-taj-city-new-cairo-ID501994675.html,"EGP 12,500,000","Tag Sultan Compound, 1st Settlement•",3,3,169 SQM
"**""Exclusive 287 sqm Apartment with Roof for Sale in Taj City – Don't Miss Out!""**",https://www.dubizzle.com.eg/en/ad/exclusive-287-sqm-apartment-with-roof-for-sale-in-taj-city-dont-miss-out-ID501854523.html,"EGP 17,000,000","Taj City Compound, 1st Settlement•",3,3,287 SQM
"**""Premium 3-Bedroom Apartment for Sale in Gardenia City, Nasr City – Super Luxe Finishing & Beautiful Views""*",https://www.dubizzle.com.eg/en/ad/premium-3-bedroom-apartment-for-sale-in-gardenia-city-nasr-city-super-luxe-finishing-beautiful-views-ID501855921.html,"EGP 4,880,000","Gardenia Compound, Nasr City•",3,1,120 SQM
Apartment under market price ready to move over 5 years,https://www.dubizzle.com.eg/en/ad/apartment-under-market-price-ready-to-move-over-5-years-ID502644098.html,"EGP 12,280,000","Galleria Moon Valley Compound, 5th Settlement•",3,2,130 SQM
Apartment - 3 bedrooms - fully finished - prime location - in el banfseg 11 compound - new cairo,https://www.dubizzle.com.eg/en/ad/apartment-3-bedrooms-fully-finished-prime-location-in-el-banfseg-11-compound-new-cairo-ID502111656.html,"EGP 8,000,000","El Banafseg 11, 1st Settlement•",3,2,215 SQM
Lowest price in market apartment ready to move for sale in Palm hills new Cairo very prime location,https://www.dubizzle.com.eg/en/ad/lowest-price-in-market-apartment-ready-to-move-for-sale-in-palm-hills-new-cairo-very-prime-location-ID502607071.html,"EGP 8,000,000","Palm Hills New Cairo Compound, 5th Settlement•",3,3,188 SQM
Apartment under market price Fully finished with Ac's - in Swan lake residence,https://www.dubizzle.com.eg/en/ad/apartment-under-market-price-fully-finished-with-acs-in-swan-lake-residence-ID501479691.html,"EGP 17,500,000","Swan Lake Residences, 1st Settlement•",3,4,243 SQM
Fully Finished 3-Bedroom Sky Loft For Sale – Prime Location in Fifth Square,https://www.dubizzle.com.eg/en/ad/fully-finished-3-bedroom-sky-loft-for-sale-prime-location-in-fifth-square-ID502178497.html,"EGP 15,086,000","Fifth Square Compound, 5th Settlement•",3,3,171 SQM
"**""Stunning 3-Bedroom Apartment for Sale in Gardenia City – Eastern Sea View & Ultra Luxe Finishing""**",https://www.dubizzle.com.eg/en/ad/stunning-3-bedroom-apartment-for-sale-in-gardenia-city-eastern-sea-view-ultra-luxe-finishing-ID501855830.html,"EGP 4,000,000","Gardenia Compound, Nasr City•",3,1,120 SQM
"**""Exclusive 3-Bedroom Apartment for Sale in Gardenia City, Nasr City – Super Lux Finishing""**",https://www.dubizzle.com.eg/en/ad/exclusive-3-bedroom-apartment-for-sale-in-gardenia-city-nasr-city-super-lux-finishing-ID501855757.html,"EGP 5,100,000","Gardenia Compound, Nasr City•",3,1,120 SQM
"An Apartment for Sale, fully finished and fully furnished, in the Madinaty, B1.",https://www.dubizzle.com.eg/en/ad/an-apartment-for-sale-fully-finished-and-fully-furnished-in-the-madinaty-b1-ID501688532.html,"EGP 7,000,000","Madinaty, Cairo•",3,2,138 SQM
"**3BR Modern Apartment for Sale in Gardenia City, Zone 10, Nasr City**",https://www.dubizzle.com.eg/en/ad/3br-modern-apartment-for-sale-in-gardenia-city-zone-10-nasr-city-ID501850838.html,"EGP 3,700,000","Gardenia Compound, Nasr City•",3,1,120 SQM
"Studio for Sale, 64 sqm, in Madinaty, B7.",https://www.dubizzle.com.eg/en/ad/studio-for-sale-64-sqm-in-madinaty-b7-ID501850481.html,"EGP 3,900,000","Madinaty, Cairo•",1,1,64 SQM
Apartment For Sale in Taj City,https://www.dubizzle.com.eg/en/ad/apartment-for-sale-in-taj-city-ID501838429.html,"EGP 7,200,000","Taj City Compound, 1st Settlement•",3,2,130 SQM
Ground Floor Apartment For Sale in Gardenia City,https://www.dubizzle.com.eg/en/ad/ground-floor-apartment-for-sale-in-gardenia-city-ID501844177.html,"EGP 4,575,000","Gardenia Compound, Nasr City•",3,1,120 SQM
Apartment For Sale in Gardenia City,https://www.dubizzle.com.eg/en/ad/apartment-for-sale-in-gardenia-city-ID501838850.html,"EGP 4,000,000","Gardenia Compound, Nasr City•",3,1,120 SQM
"Apartment for Sale, 96 sqm, b11 Madinaty",https://www.dubizzle.com.eg/en/ad/apartment-for-sale-96-sqm-b11-madinaty-ID501836060.html,"EGP 4,850,000","Madinaty, Cairo•",2,2,96 SQM
"For Sale Ground Floor Apartment with Garden, fully furnished, in Gardenia City",https://www.dubizzle.com.eg/en/ad/for-sale-ground-floor-apartment-with-garden-fully-furnished-in-gardenia-city-ID501832019.html,"EGP 5,570,000","Gardenia Compound, Nasr City•",3,1,120 SQM
Apartments for Sale in Gardenia City,https://www.dubizzle.com.eg/en/ad/apartments-for-sale-in-gardenia-city-ID501830070.html,"EGP 3,800,000","Gardenia Compound, Nasr City•",3,1,120 SQM
Apartments for Sale in Taj City,https://www.dubizzle.com.eg/en/ad/apartments-for-sale-in-taj-city-ID501830112.html,"EGP 7,200,000","Taj City Compound, 1st Settlement•",3,2,130 SQM
"Apartment for sale, repeated floor in Madinaty compound.",https://www.dubizzle.com.eg/en/ad/apartment-for-sale-repeated-floor-in-madinaty-compound-ID501817519.html,"EGP 3,950,000","Madinaty, Cairo•",2,1,83 SQM
Apartment for Sale in Gardenia City,https://www.dubizzle.com.eg/en/ad/apartment-for-sale-in-gardenia-city-ID501829299.html,"EGP 3,758,000","Gardenia Compound, Nasr City•",3,1,120 SQM
"A ground-floor apartment with a garden for sale, old contract, in Wassal compound.",https://www.dubizzle.com.eg/en/ad/a-ground-floor-apartment-with-a-garden-for-sale-old-contract-in-wassal-compound-ID501628855.html,"EGP 5,663,000","Wesal, Shorouk City•",3,2,156 SQM
Apartment for sale with remaining installments in Gardenia City Compound - Nasr City.,https://www.dubizzle.com.eg/en/ad/apartment-for-sale-with-remaining-installments-in-gardenia-city-compound-nasr-city-ID501803357.html,"EGP 4,100,000","Gardenia Compound, Nasr City•",3,2,120 SQM
"Apartment for sale, fully finished, in Taj City Compound - New Cairo.",https://www.dubizzle.com.eg/en/ad/apartment-for-sale-fully-finished-in-taj-city-compound-new-cairo-ID501784077.html,"EGP 9,800,000","Taj City Compound, 1st Settlement•",3,3,166 SQM
"Apartment for sale, repeated floor, in Madinaty Compound.",https://www.dubizzle.com.eg/en/ad/apartment-for-sale-repeated-floor-in-madinaty-compound-ID501782377.html,"EGP 3,950,000","Madinaty, Cairo•",2,1,83 SQM
An apartment for sale with a garden view in Madinaty compound.,https://www.dubizzle.com.eg/en/ad/an-apartment-for-sale-with-a-garden-view-in-madinaty-compound-ID501772839.html,"EGP 4,300,000","Madinaty, Cairo•",2,1,96 SQM
Ground floor apartment with a garden for sale in Madinaty compound.,https://www.dubizzle.com.eg/en/ad/ground-floor-apartment-with-a-garden-for-sale-in-madinaty-compound-ID501772877.html,"EGP 5,500,000","Madinaty, Cairo•",2,1,87 SQM
"A distinctive apartment for sale in the finest compound, Wasal.",https://www.dubizzle.com.eg/en/ad/a-distinctive-apartment-for-sale-in-the-finest-compound-wasal-ID501547466.html,"EGP 5,813,000","Wesal, Shorouk City•",3,3,165 SQM
"For sale in my city B7, area 82 meters with furniture and appliances, 2 bedrooms + 1 bathroom",https://www.dubizzle.com.eg/en/ad/for-sale-in-my-city-b7-area-82-meters-with-furniture-and-appliances-2-bedrooms-1-bathroom-ID502647285.html,"EGP 4,500,000","Madinaty, Cairo•",2,1,82 SQM
Apartment for Sale in Address East – 147 sqm | 3 Bedrooms | Fully Finished Ultra Super Lux | Immediate Delivery,https://www.dubizzle.com.eg/en/ad/apartment-for-sale-in-address-east-147-sqm-3-bedrooms-fully-finished-ultra-super-lux-immediate-delivery-ID502647352.html,"EGP 6,600,000","The Address East Compound, 5th Settlement•",3,2,147 SQM
Below Market Price Apartment 202 SQM For Sale Delivered With Premium Location In Mountain View Hyde Park New Cairo,https://www.dubizzle.com.eg/en/ad/below-market-price-apartment-202-sqm-for-sale-delivered-with-premium-location-in-mountain-view-hyde-park-new-cairo-ID502647404.html,"EGP 11,000,000","Mountain View Hyde Park Compound, 5th Settlement•",3,3,201 SQM
Duplex for sale 310m in Al Tajammo' Al Awal Al Yasmeen 7- New Cairo,https://www.dubizzle.com.eg/en/ad/duplex-for-sale-310m-in-al-tajammo-al-awal-al-yasmeen-7-new-cairo-ID502647401.html,"EGP 9,500,000","El Yasmeen 7, 5th Settlement•",5,4,310 SQM
"Very distinctive apartment for sale in the upscale compound Gardenia City, Nasr City.",https://www.dubizzle.com.eg/en/ad/very-distinctive-apartment-for-sale-in-the-upscale-compound-gardenia-city-nasr-city-ID501470037.html,"EGP 3,750,000","Gardenia Compound, Nasr City•",3,1,120 SQM
A very distinctive duplex with a stunning view in Hyde Park.,https://www.dubizzle.com.eg/en/ad/a-very-distinctive-duplex-with-a-stunning-view-in-hyde-park-ID501406506.html,"EGP 18,000,000","Hyde Park New Cairo Compound, 5th Settlement•",5,4,265 SQM
A very distinctive apartment for sale with a stunning view in the most upscale compound.,https://www.dubizzle.com.eg/en/ad/a-very-distinctive-apartment-for-sale-with-a-stunning-view-in-the-most-upscale-compound-ID501453553.html,"EGP 7,300,000","Hyde Park New Cairo Compound, 5th Settlement•",2,3,140 SQM
A very distinguished apartment for sale in the most upscale compound (Dar Misr Al-Qarnfal),https://www.dubizzle.com.eg/en/ad/a-very-distinguished-apartment-for-sale-in-the-most-upscale-compound-dar-misr-al-qarnfal-ID501453854.html,"EGP 2,750,000","El Koronfel, 1st Settlement•",2,1,100 SQM
A very distinctive apartment for sale with an amazing view (Dar Misr Al-Qarnfal),https://www.dubizzle.com.eg/en/ad/a-very-distinctive-apartment-for-sale-with-an-amazing-view-dar-misr-al-qarnfal-ID501456562.html,"EGP 3,550,000","El Koronfel, 1st Settlement•",3,2,130 SQM
An exceptional apartment for sale in the most upscale compound in New Cairo.,https://www.dubizzle.com.eg/en/ad/an-exceptional-apartment-for-sale-in-the-most-upscale-compound-in-new-cairo-ID501453628.html,"EGP 12,500,000","Hyde Park New Cairo Compound, 5th Settlement•",4,4,207 SQM
"An extremely distinct apartment for sale with a stunning view in Dar Misr, Al-Qarnfal",https://www.dubizzle.com.eg/en/ad/an-extremely-distinct-apartment-for-sale-with-a-stunning-view-in-dar-misr-al-qarnfal-ID501487630.html,"EGP 3,900,000","El Koronfel, 1st Settlement•",3,3,140 SQM
A very distinctive apartment for sale in the upscale compound Al Yasmeen 5.,https://www.dubizzle.com.eg/en/ad/a-very-distinctive-apartment-for-sale-in-the-upscale-compound-al-yasmeen-5-ID501485216.html,"EGP 6,500,000","El Yasmeen 5, 1st Settlement•",3,3,200 SQM
Very distinctive apartment for sale in the most upscale compound HYDE PARK,https://www.dubizzle.com.eg/en/ad/very-distinctive-apartment-for-sale-in-the-most-upscale-compound-hyde-park-ID501470146.html,"EGP 13,325,000","Hyde Park New Cairo Compound, 5th Settlement•",3,3,195 SQM
"A very distinctive apartment for sale in the most upscale compound, Hyde Park",https://www.dubizzle.com.eg/en/ad/a-very-distinctive-apartment-for-sale-in-the-most-upscale-compound-hyde-park-ID501470229.html,"EGP 9,250,000","Hyde Park New Cairo Compound, 5th Settlement•",3,3,185 SQM
A very distinctive apartment for sale in the most upscale compound with super lux finish - Gardenia City,https://www.dubizzle.com.eg/en/ad/a-very-distinctive-apartment-for-sale-in-the-most-upscale-compound-with-super-lux-finish-gardenia-city-ID501468070.html,"EGP 4,100,000","Gardenia Compound, Nasr City•",3,2,120 SQM
